Ier_ID,Parks,TranspVeids,GarNr,MarsrNos,TMarsruts,Virziens,Laiks,ValidTalonaId
206764,7 parks,Autobuss,72754,Abrenes iela - Mārupe,A 25,Back,23.11.2018 18:30:25,20
206765,3 parks,Tramvajs,30100,Iļģuciems - Mīlgrāvis,Tm 5,Back,23.11.2018 18:45:17,20
206766,3 parks,Tramvajs,30329,Iļģuciems - Mīlgrāvis,Tm 5,Forth,23.11.2018 20:16:41,20
206767,5 parks,Tramvajs,51830,Imanta - Jugla,Tm 1,Forth,23.11.2018 20:39:58,20
206768,2 parks,Trolejbuss,29386,Centrālā stacija - Purvciems,Tr 17,Forth,23.11.2018 21:14:48,20
206769,7 parks,Autobuss,76092,Abrenes iela - Pļavnieku kapi,A 52,Forth,23.11.2018 22:36:58,20
206770,7 parks,Autobuss,78060,Dārziņi - Jugla 3,A 15,Back,23.11.2018 22:46:53,20
206771,3 parks,Tramvajs,35217,Ausekļa iela - 'Dole',Tm 7,Back,23.11.2018 23:18:32,20
217455,7 parks,Autobuss,78049,Dārziņi - Jugla 3,A 31,Forth,23.11.2018 08:06:31,15
217456,7 parks,Autobuss,77010,Pētersalas - Pļavnieku kapi,A 20,Back,23.11.2018 08:32:22,15
217457,1 parks,Trolejbuss,17507,E.Birznieka Upiša - Pļavnieki,Tr 22,Forth,23.11.2018 09:13:27,15
217458,7 parks,Autobuss,76538,Daugavgrīva - Pļavnieki,A 3,Back,23.11.2018 09:49:09,15
217459,7 parks,Autobuss,79251,Daugavgrīva - Pļavnieki,A 3,Forth,23.11.2018 11:09:17,15
217460,1 parks,Trolejbuss,17529,E.Birznieka Upiša - Pļavnieki,Tr 22,Forth,23.11.2018 11:40:12,15
217461,1 parks,Trolejbuss,17507,E.Birznieka Upiša - Pļavnieki,Tr 22,Back,23.11.2018 12:28:12,15
217462,7 parks,Autobuss,74561,Babītes stacija - Preču 2,A 13,Forth,23.11.2018 14:27:31,15
217463,7 parks,Autobuss,79806,Dārziņi - Jugla 3,A 15,Back,23.11.2018 15:01:30,15
217464,3 parks,Tramvajs,30405,Ausekļa iela - 'Dole',Tm 7,Back,23.11.2018 15:41:56,15
217465,3 parks,Tramvajs,35217,Ausekļa iela - 'Dole',Tm 7,Forth,23.11.2018 16:14:03,15
217466,7 parks,Autobuss,79305,MAN-TESS - Rumbula,A 49,Back,23.11.2018 16:31:52,15
217467,1 parks,Trolejbuss,17771,E.Birznieka Upiša - Pļavnieki,Tr 22,Back,23.11.2018 16:50:02,15
217468,1 parks,Trolejbuss,17771,E.Birznieka Upiša - Pļavnieki,Tr 22,Forth,23.11.2018 17:23:29,15
217469,1 parks,Trolejbuss,17725,E.Birznieka Upiša - Pļavnieki,Tr 22,Back,23.11.2018 18:19:10,15
240372,2 parks,Trolejbuss,26542,Āgenskalna priedes - Šmerlis,Tr 12,Back,23.11.2018 09:16:05,11
240373,6 parks,Autobuss,65459,Esplanāde - Zolitūde,A 53,Forth,23.11.2018 09:43:52,11
240374,6 parks,Autobuss,69472,Abrenes iela - Lidosta,A 22,Forth,23.11.2018 12:51:30,11
240375,6 parks,Autobuss,69112,Daugavgrīva - Pļavnieki,A 3,Forth,23.11.2018 13:06:49,11
240376,2 parks,Trolejbuss,28380,Esplanāde - Mežciems,Tr 14,Forth,23.11.2018 13:26:28,11
240377,2 parks,Trolejbuss,28587,Centrālā stacija - Purvciems,Tr 17,Forth,23.11.2018 13:32:24,11
240378,7 parks,Autobuss,74681,Abrenes iela - Pansionāts,A 1,Back,23.11.2018 14:39:22,11
240379,6 parks,Autobuss,68117,Imanta 5 - Jugla 3,A 21,Forth,23.11.2018 16:34:20,11
240380,7 parks,Autobuss,79763,Jugla 3 - Ziepniekkalns,A 40,Forth,23.11.2018 18:04:48,11
240381,1 parks,Trolejbuss,19802,Āgenskalna priedes - Šmerlis,Tr 12,Back,23.11.2018 18:48:31,11
240382,7 parks,Autobuss,79774,Daugavgrīva - Pļavnieki,A 3,Back,23.11.2018 22:14:24,11
248925,2 parks,Trolejbuss,27191,Latv. Universitāte - Višķu,Tr 15,Back,23.11.2018 12:02:40,14
248926,2 parks,Trolejbuss,26575,Latv. Universitāte - Višķu,Tr 15,Back,23.11.2018 12:32:54,14
248927,3 parks,Tramvajs,30405,Ausekļa iela - 'Dole',Tm 7,Forth,23.11.2018 16:11:54,14
248928,2 parks,Trolejbuss,27265,Latv. Universitāte - Višķu,Tr 15,Forth,23.11.2018 18:22:10,14
248929,5 parks,Tramvajs,58011,Ausekļa iela - Mežaparks,Tm 11,Back,23.11.2018 18:47:54,14
248930,1 parks,Trolejbuss,19628,Daugavas st. - Klīniskā slimnīca,Tr 5,Forth,23.11.2018 18:54:39,14
248931,2 parks,Trolejbuss,29311,Brīvības iela - Iļģuciems,Tr 25,Back,23.11.2018 19:18:52,14
248932,1 parks,Trolejbuss,19846,Daugavas st. - Klīniskā slimnīca,Tr 5,Back,23.11.2018 19:36:09,14
248933,5 parks,Tramvajs,51754,Tramvaja Depo - Maršruts,Tm 100,Forth,23.11.2018 19:48:21,14
248934,5 parks,Tramvajs,57082,Imanta - Jugla,Tm 1,Forth,23.11.2018 19:58:53,14
248935,5 parks,Tramvajs,50813,Imanta - Jugla,Tm 1,Back,23.11.2018 21:30:28,14
248936,5 parks,Tramvajs,57051,Tramvaja Depo - Maršruts,Tm 100,Forth,23.11.2018 21:48:24,14
248937,5 parks,Tramvajs,57147,Imanta - Jugla,Tm 1,Back,23.11.2018 22:14:34,14
248938,2 parks,Trolejbuss,27265,Latv. Universitāte - Višķu,Tr 15,Forth,23.11.2018 22:24:42,14
260223,5 parks,Tramvajs,57103,Imanta - Jugla,Tm 1,Back,23.11.2018 05:58:05,21
260224,3 parks,Tramvajs,30329,Iļģuciems - Mīlgrāvis,Tm 5,Back,23.11.2018 06:18:34,21
260225,7 parks,Autobuss,74690,Daugavgrīva – Ziepniekkalns,A 56,Forth,23.11.2018 08:12:52,21
260226,6 parks,Autobuss,62430,Babītes stacija - Preču 2,A 13,Back,23.11.2018 08:56:13,21
260227,6 parks,Autobuss,69123,Abrenes iela - Piņķi,A 4,Forth,23.11.2018 09:08:52,21
260228,6 parks,Autobuss,69123,Abrenes iela - Piņķi,A 4,Back,23.11.2018 09:16:54,21
260229,6 parks,Autobuss,68215,Imanta 5 - Jugla 3,A 21,Back,23.11.2018 09:53:20,21
