stop_id,stop_name,stop_lat,stop_lon
0472,TEC-1,56.98959,24.18679
0512,Viskaļu iela,56.98587,24.18474
0299,Višķu iela 3,56.89776,24.21248
0300,Višķu iela/trol. galapunkts,56.90014,24.21653
8072,Daugavgrīvas šoseja,56.98925,24.08288
1136,Voleri,57.00378,24.08711
1137,Voleru iela 35,56.99806,24.08685
1138,Voleru iela 35,56.99760,24.08668
1139,Voleru iela 5,56.99354,24.08605
1418,Apuzes iela,56.93388,24.02851
1415,Candera iela,56.93937,24.04523
1416,Irlavas iela,56.93777,24.04016
1419,Pleskodāles iela,56.93189,24.02486
1417,Rucavas iela,56.93628,24.03545
1420,Zolitūdes iela,56.92961,24.02001
2124,Televīzijas centrs,56.93483,24.11766
0647,Zasulauka iela,56.94249,24.04093
0648,Zasulauka iela,56.94267,24.04060
1073,96.vidusskola,56.95948,24.00500
1076,96.vidusskola,56.95896,24.00681
1074,Vīksnes iela,56.96055,24.00051
1075,Vīksnes iela,56.96014,24.00183
5279,Priežciems,56.95071,23.93612
1554,Latvijas Pasts,56.92767,23.98697
1326,Kalētu iela,56.90703,24.12848
1329,Kalētu iela,56.90661,24.12836
1323,Krustkalni,56.89555,24.14101
1332,Krustkalni,56.89430,24.14217
1324,Neilandi,56.89803,24.13773
1331,Neilandi,56.89777,24.13765
1330,Priekules iela,56.90427,24.13025
1327,Šautuves iela,56.91196,24.12458
1328,Šautuves iela,56.91223,24.12403
1443,Gramzdas iela,56.94344,24.00347
1446,Gramzdas iela,56.94414,24.00309
1442,Mežmalas iela,56.94607,24.00143
1447,Mežmalas iela,56.94751,24.00049
1441,Rostokas iela,56.94889,23.99929
1448,Rostokas iela,56.94915,23.99924
3254,Aspazijas bulvāris - pagaidu,56.94833,24.11540
7749g,Abrenes iela,56.94599,24.12864
1561,Āgenskalna priedes,56.94454,24.05899
0007,Alfa,56.98381,24.20224
1801,Mārkalnes iela,56.98809,24.22881
1803,Meža skola,56.98637,24.21404
1804,Sporta akadēmija,56.98582,24.20966
1802,Tirzas iela,56.98735,24.22240
1559,"Dzelzceļa stacija ""Turība""",56.91229,24.07551
1560,"Dzelzceļa stacija ""Turība""",56.91209,24.07645
1562,Dreiliņu iela,56.94183,24.06034
4160,Basu iela,56.90821,24.09404
4161,Basu iela,56.90830,24.09413
7013,Graudu iela,56.90966,24.08708
7014,Graudu iela,56.91055,24.08416
7015,Ķekavas iela,56.91357,24.11014
7016,Ķekavas iela,56.91410,24.11165
5928,Brīvības gatve,56.97400,24.16550
5929,Brīvības gatve,56.97191,24.16658
1809,Ģipša iela,56.95912,24.08248
5927,Ieriķu iela,56.96573,24.17203
5406a,Ulbroka,56.94020,24.29237
1816,Lejupes iela,56.91095,24.14757
1817,Lejupes iela,56.91115,24.14908
9115,2.trolejbusu parks,56.93200,24.09908
9113,LU Akadēmiskais  centrs,56.93623,24.09803
9114,LU Akadēmiskais  centrs,56.93650,24.09811
0281,Viļānu iela,56.94271,24.15169
5590,Gramzdas iela,56.94030,23.99980
5591,Gramzdas iela,56.93984,23.99910
7012,Anniņmuižas ģimnāzija,56.96122,24.02205
10622,Imantas D/P,56.96045,23.99724
1807,Kaiju iela,56.95650,24.08096
1808,Kaiju iela,56.95698,24.08091
1805,Rīgas Tehniskā universitāte,56.95233,24.08401
1806,Rīgas Tehniskā universitāte,56.95247,24.08370
1395,Mārupe,56.89518,24.04591
0420,Meža prospekts,56.99611,24.13239
5593,Noliktavu iela,56.93275,24.23609
1810,Ģipša iela,56.95936,24.08248
5926,Īslīces iela,56.89851,24.08235
0732,Kalnciema iela,56.94507,24.08360
1435a,Zolitūdes D/P,56.94823,24.02459
1812,Sporta iela,56.96480,24.11557
1813,Sporta iela,56.96466,24.11527
1047,Upes iela,56.97590,24.13379
1048,Upes iela,56.97575,24.13437
5312,Puķulejas,56.88754,23.99002
9109,Aldaris,57.00470,24.11948
1396,"Bērnudārzs ""Zeltrīti""",56.89005,24.04958
1397,"Bērnudārzs ""Zeltrīti""",56.88987,24.05070
1398,Veczariņu iela,56.88950,24.05766
1394,Veczariņu iela,56.88968,24.05636
1555,Miglas iela,56.92599,23.99243
3015,A.Grīna bulvāris,56.94141,24.08265
3006,Slokas iela,56.94167,24.08285
3005,E.Smiļģa iela,56.93662,24.07592
3016,E.Smiļģa iela,56.93674,24.07712
3004,Āgenskalna tirgus,56.93558,24.07082
3017,Āgenskalna tirgus,56.93564,24.07014
3002,Ormaņu iela,56.93718,24.05967
3019,Ormaņu iela,56.93739,24.05919
3003,Pārslas iela,56.93668,24.06296
3018,Pārslas iela,56.93674,24.06268
3196,Arkādijas parks,56.93295,24.08390
3199,Arkādijas parks,56.93280,24.08341
3042,A.Grīna bulvāris,56.94202,24.08228
3043,A.Grīna bulvāris,56.94196,24.08258
3040,Kalnciema iela,56.94598,24.07403
3045,Kalnciema iela,56.94547,24.07447
3039,Mārtiņa iela,56.94851,24.07216
3046,Mārtiņa iela,56.94821,24.07244
3041,Nometņu iela,56.94341,24.07707
3044,Nometņu iela,56.94298,24.07812
3014,Slokas iela,56.94011,24.09027
3007,Uzvaras bulvāris,56.93998,24.09079
3008,Nacionālā bibliotēka,56.94132,24.09441
3013,Nacionālā bibliotēka,56.94156,24.09498
3197,Slokas iela,56.93962,24.09116
3198,Slokas iela,56.93915,24.09031
1315,Meža iela,56.88112,24.13859
1309,Meža iela,56.88121,24.13853
3185,Bišumuiža,56.91458,24.14072
3186,Doles iela,56.91589,24.13438
3210,Doles iela,56.91580,24.13235
3209,Mazā Bauskas iela,56.91570,24.12389
1612,Ādažu iela,57.01317,24.25966
9094,Ādažu iela,57.01410,24.25956
3100,13.janvāra iela,56.94576,24.11321
3061,Nacionālā opera,56.94863,24.11399
3099,Nacionālā opera,56.94836,24.11414
3166,Ausekļa iela,56.95884,24.10004
3011,Centrāltirgus,56.94411,24.11433
3065,Pētersalas iela,56.96826,24.09791
3064,Vašingtona laukums,56.96193,24.09836
3096,Vašingtona laukums,56.96259,24.09830
3242,Aspazijas bulvāris,56.94809,24.11489
3122,Bērnu pasaule,56.95730,24.13350
3130,Bērnu pasaule,56.95672,24.13238
3134,Brīvības iela,56.96804,24.15100
3124,Dzirnavu iela,56.95215,24.12310
3128,Dzirnavu iela,56.95237,24.12357
3123,Ģertrūdes iela,56.95459,24.12803
3129,Ģertrūdes iela,56.95441,24.12772
3118,K.Barona iela,56.96758,24.15066
3125,Merķeļa iela,56.94995,24.11866
3127,Merķeļa iela,56.95037,24.11955
3119,Pērnavas iela,56.96559,24.14934
3133,Pērnavas iela,56.96499,24.14873
3120,"Sporta nams ""Daugava""",56.96280,24.14438
3132,"Sporta nams ""Daugava""",56.96258,24.14398
3121,Tallinas iela,56.96098,24.14075
3131,Tallinas iela,56.96079,24.14045
3063,Ausekļa iela,56.95742,24.10083
3097,Kronvalda bulvāris,56.95771,24.10053
3062,Nacionālais teātris,56.95375,24.10419
3098,Nacionālais teātris,56.95327,24.10458
3226,Bērnu pasaule,56.95727,24.13291
3227,Brīvības iela,56.95951,24.12900
3220,Brasas stacija,56.97579,24.14444
3232,Brasas stacija,56.97615,24.14488
3225,Brīvības iela,56.96016,24.12915
3222,Ēveles iela,56.96875,24.13556
3221,Kazarmu iela,56.97320,24.14189
3231,Kazarmu iela,56.97304,24.14180
3224,Laima,56.96356,24.13188
3228,Laima,56.96338,24.13173
3230,Mēness iela,56.96898,24.13594
3223,Tallinas iela,56.96605,24.13359
3229,Tallinas iela,56.96525,24.13313
3095,Eksporta iela,56.96853,24.09827
3066,Katrīnas iela,56.96819,24.10072
3094,Katrīnas iela,56.96809,24.10150
3165,Prāgas iela,56.94540,24.11527
3245,Radio iela,56.94834,24.11592
3126,Stacijas laukums,56.94765,24.11636
3218,2.Meža kapi,56.98429,24.15566
3234,2.Meža kapi,56.98431,24.15569
3219,Brāļu kapi,56.98258,24.15073
3233,Brāļu kapi,56.98274,24.15121
3217,Gaujas iela,56.98646,24.16046
3235,Gaujas iela,56.98594,24.15971
3216,Rusova iela/Valsts ieņēmumu dienests,56.98953,24.16465
3236,Rusova iela/Valsts ieņēmumu dienests,56.98979,24.16483
3058,Slokas iela,56.96052,24.06023
3037,Botāniskais dārzs,56.95127,24.05369
3048,Botāniskais dārzs,56.95122,24.05279
3038,Baldones iela,56.95066,24.06659
3047,Baldones iela,56.95076,24.06559
3060,Dārza iela,56.95342,24.06280
3101,Dārza iela,56.95313,24.06285
3059,Eiženijas iela,56.95664,24.06248
3057,Buļļu iela,56.96326,24.06178
3104,Buļļu iela,56.96290,24.06137
3056,Bēnes iela,56.96488,24.06450
3055,Iļģuciems,56.96499,24.06939
3105,Lilijas iela,56.96475,24.06360
3102,Eiženijas iela,56.95724,24.06199
3103,Saldus iela,56.95926,24.06019
3033,Kleistu iela,56.95985,24.02042
3052,Kleistu iela,56.95998,24.02001
3034,Imantas iela,56.95758,24.02675
3051,Imantas iela,56.95760,24.02623
3032,Anniņmuižas bulvāris,56.96094,24.01415
3053,Dammes iela,56.96107,24.01401
3031,Imanta,56.96624,24.00808
3054,Imanta,56.96579,24.00886
3050,Bebru iela,56.95687,24.03487
3036,Jūrmalas gatve,56.95252,24.03480
3035,Kurzemes prospekts,56.95661,24.03475
3049,Kurzemes prospekts,56.95278,24.03502
3025,Jaunsaules iela,56.95512,24.04559
3027,Jaunsaules iela,56.95483,24.04556
3024,Jūrmalas gatve,56.95106,24.04605
3028,Jūrmalas gatve,56.95199,24.04580
3026,Tapešu iela,56.95768,24.04643
5217,Mežciems,56.89277,24.01394
5216,Mežciems,56.89291,24.01497
5515,Pīlādžu iela,56.87674,23.93001
3080,Mīlgrāvis,57.01711,24.12302
3078,Gaujienas iela,57.00624,24.12518
3082,Gaujienas iela,57.00634,24.12516
3079,Tvaika iela,57.00981,24.12534
3081,Tvaika iela,57.01000,24.12517
3106,Jugla,56.98973,24.24057
3146,Jugla,56.98977,24.24152
