stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
1132,,"Spilves lidlauks",,56.97494,24.07620,https://saraksti.rigassatiksme.lv/index.html#stop/1132,,
0613,,"Ūdens iela",,56.95628,24.07041,https://saraksti.rigassatiksme.lv/index.html#stop/0613,,
0639,,"Ūdens iela",,56.95523,24.06984,https://saraksti.rigassatiksme.lv/index.html#stop/0639,,
1144,,"Beķermuiža",,57.00613,24.07626,https://saraksti.rigassatiksme.lv/index.html#stop/1144,,
1145,,"Beķermuiža",,57.00686,24.07580,https://saraksti.rigassatiksme.lv/index.html#stop/1145,,
1148,,"Guberņciems",,57.01817,24.05725,https://saraksti.rigassatiksme.lv/index.html#stop/1148,,
1149,,"Guberņciems",,57.01836,24.05605,https://saraksti.rigassatiksme.lv/index.html#stop/1149,,
1141,,"Pagrieziens uz Voleriem",,56.98923,24.08215,https://saraksti.rigassatiksme.lv/index.html#stop/1141,,
1142,,"Voleri",,56.99799,24.07713,https://saraksti.rigassatiksme.lv/index.html#stop/1142,,
1143,,"Voleri",,56.99872,24.07723,https://saraksti.rigassatiksme.lv/index.html#stop/1143,,
1146,,"Zilā iela",,57.01311,24.06934,https://saraksti.rigassatiksme.lv/index.html#stop/1146,,
1147,,"Zilā iela",,57.01212,24.07089,https://saraksti.rigassatiksme.lv/index.html#stop/1147,,
0106,,"Duntes iela",,56.99232,24.12559,https://saraksti.rigassatiksme.lv/index.html#stop/0106,,
8005,,"Laktas iela",,56.97934,24.13657,https://saraksti.rigassatiksme.lv/index.html#stop/8005,,
8006,,"Laktas iela",,56.97830,24.13601,https://saraksti.rigassatiksme.lv/index.html#stop/8006,,
0318,,"Ozolaine/Jūras medicīnas centrs",,56.98733,24.13300,https://saraksti.rigassatiksme.lv/index.html#stop/0318,,
0317,,"Ozolaine/Jūras medicīnas centrs",,56.98653,24.13385,https://saraksti.rigassatiksme.lv/index.html#stop/0317,,
0486,,"Tilta iela",,56.99243,24.12558,https://saraksti.rigassatiksme.lv/index.html#stop/0486,,
0482,,"Traumatoloģijas un ortopēdijas slimnīca",,56.98378,24.13604,https://saraksti.rigassatiksme.lv/index.html#stop/0482,,
0483,,"Traumatoloģijas un ortopēdijas slimnīca",,56.98292,24.13627,https://saraksti.rigassatiksme.lv/index.html#stop/0483,,
7992,,"Vītolu iela",,56.98891,24.13062,https://saraksti.rigassatiksme.lv/index.html#stop/7992,,
2016,,"Vītolu iela",,56.99035,24.12953,https://saraksti.rigassatiksme.lv/index.html#stop/2016,,
