VehicleMessageID,SentDate,VehicleID,SendingReason,Odometer,WGS84Fi,WGS84La,Delay,Gyro,Speed,ShiftID,TripID
869706882,2018-11-23 18:03:24.000,63,6,10152,"56,90317","24,21324",0,310,0,466,416026
869707162,2018-11-23 18:03:13.000,63,12,10122,"56,90298","24,21357",0,315,31,466,416026
869707325,2018-11-23 18:03:06.000,63,1,10050,"56,90253","24,21442",0,313,40,466,416026
869707393,2018-11-23 18:04:13.000,63,8,10363,"56,90442","24,21065",0,314,0,466,416026
869707807,2018-11-23 18:03:58.000,63,8,10344,"56,9043","24,21088",0,312,0,466,416026
869708611,2018-11-23 18:04:39.000,63,8,10469,"56,90394","24,20929",0,269,0,466,416026
869709381,2018-11-23 18:05:18.000,63,10,10618,"56,90484","24,20749",0,305,20,466,416026
869709680,2018-11-23 18:05:08.000,63,7,10575,"56,90459","24,20803",0,312,0,466,416026
869709766,2018-11-23 18:05:05.000,63,8,10575,"56,90459","24,20803",0,312,0,466,416026
869709820,2018-11-23 18:05:03.000,63,6,10575,"56,90459","24,20803",0,312,0,466,416026
869710094,2018-11-23 18:04:52.000,63,12,10542,"56,90439","24,20843",0,314,28,466,416026
869710327,2018-11-23 18:05:50.000,63,1,10861,"56,90575","24,20386",0,294,24,466,416026
869711035,2018-11-23 18:06:30.000,63,8,11114,"56,90678","24,20018",0,302,0,466,416026
869711095,2018-11-23 18:06:28.000,63,6,11114,"56,90678","24,20018",0,302,0,466,416026
869711397,2018-11-23 18:06:17.000,63,12,11069,"56,90656","24,2008",0,302,27,466,416026
869712297,2018-11-23 18:06:49.000,63,10,11159,"56,90699","24,19957",0,305,23,466,416026
869712611,2018-11-23 18:06:38.000,63,7,11114,"56,90678","24,20018",0,302,0,466,416026
869712824,2018-11-23 18:07:38.000,63,12,11556,"56,90963","24,19521",0,325,22,466,416026
869713301,2018-11-23 18:07:21.000,63,1,11425,"56,90874","24,1966",0,315,35,466,416026
869713765,2018-11-23 18:08:12.000,63,7,11607,"56,90999","24,1947",0,322,0,466,416026
869714314,2018-11-23 18:07:51.000,63,8,11607,"56,90999","24,1947",0,322,0,466,416026
869714374,2018-11-23 18:07:49.000,63,6,11607,"56,90999","24,1947",0,322,0,466,416026
869715327,2018-11-23 18:08:22.000,63,10,11652,"56,9103","24,19422",0,321,29,466,416026
869715671,2018-11-23 18:09:16.000,63,7,11972,"56,91256","24,191",0,308,0,466,416026
869715894,2018-11-23 18:09:07.000,63,6,11972,"56,91256","24,191",0,308,0,466,416026
869716140,2018-11-23 18:08:56.000,63,12,11928,"56,91227","24,19148",0,320,29,466,416026
869716273,2018-11-23 18:08:52.000,63,1,11912,"56,91215","24,19165",0,321,25,466,416026
869717092,2018-11-23 18:09:28.000,63,10,12021,"56,91281","24,19033",0,306,30,466,416026
869717298,2018-11-23 18:10:27.000,63,6,12481,"56,9153","24,1855",0,30,0,466,416026
869717510,2018-11-23 18:10:17.000,63,12,12449,"56,91507","24,18521",0,35,20,466,416026
869718032,2018-11-23 18:09:58.000,63,1,12371,"56,91457","24,18558",0,306,19,466,416026
869718490,2018-11-23 18:10:48.000,63,10,12529,"56,91568","24,18586",0,31,30,466,416026
869718869,2018-11-23 18:10:34.000,63,7,12481,"56,9153","24,1855",0,30,0,466,416026
869719014,2018-11-23 18:10:28.000,63,8,12481,"56,9153","24,1855",0,30,0,466,416026
869719081,2018-11-23 18:11:33.000,63,8,12850,"56,91814","24,18634",0,325,0,466,416026
869719423,2018-11-23 18:11:19.000,63,1,12791,"56,91772","24,18693",0,323,28,466,416026
869720002,2018-11-23 18:12:03.000,63,1,13126,"56,92014","24,18369",0,324,34,466,416026
869720954,2018-11-23 18:12:32.000,63,7,13199,"56,92068","24,18303",0,323,0,466,416026
869721128,2018-11-23 18:12:25.000,63,6,13199,"56,92068","24,18303",0,323,0,466,416026
869721543,2018-11-23 18:12:08.000,63,12,13160,"56,92039","24,18337",0,326,20,466,416026
869722334,2018-11-23 18:12:44.000,63,10,13242,"56,92098","24,18261",0,326,29,466,416026
869722477,2018-11-23 18:13:45.000,63,1,13965,"56,92635","24,17595",-1,324,43,466,416026
869723251,2018-11-23 18:13:15.000,63,1,13588,"56,92358","24,17949",-1,330,46,466,416026
869723994,2018-11-23 18:13:50.000,63,17,14011,"56,92669","24,17552",-1,324,40,466,416026
869724557,2018-11-23 18:14:37.000,63,6,14407,"56,92967","24,17199",-1,328,0,466,416026
869724972,2018-11-23 18:14:22.000,63,12,14357,"56,92926","24,17234",-1,330,31,466,416026
869725212,2018-11-23 18:15:22.000,63,10,14452,"56,93","24,17156",-1,330,29,466,416026
869725520,2018-11-23 18:15:11.000,63,7,14407,"56,92967","24,17199",-1,328,0,466,416026
869725613,2018-11-23 18:15:08.000,63,1,14407,"56,92967","24,17199",-1,328,0,466,416026
869725948,2018-11-23 18:16:02.000,63,12,14850,"56,93277","24,16769",-1,291,29,466,416026
869726217,2018-11-23 18:15:52.000,63,1,14776,"56,93245","24,16874",-1,309,25,466,416026
869726783,2018-11-23 18:16:38.000,63,10,14950,"56,93307","24,16616",-1,294,31,466,416026
869727117,2018-11-23 18:16:25.000,63,7,14900,"56,93293","24,16692",-1,286,0,466,416026
869727308,2018-11-23 18:16:18.000,63,6,14900,"56,93293","24,16692",-1,286,0,466,416026
